vc1b;R;0xD000;U16;60;1;1
vc2b;R;0xD001;U16;60;1;1
vc3b;R;0xD002;U16;60;1;1
vc4b;R;0xD003;U16;60;1;1
vc5b;R;0xD004;U16;60;1;1
vc6b;R;0xD005;U16;60;1;1
vc7b;R;0xD006;U16;60;1;1
vc8b;R;0xD007;U16;60;1;1
vc9b;R;0xD008;U16;60;1;1
vc10b;R;0xD009;U16;60;1;1
vc11b;R;0xD00A;U16;60;1;1
vc12b;R;0xD00B;U16;60;1;1
vc13b;R;0xD00C;U16;60;1;1
vc14b;R;0xD00D;U16;60;1;1
vc15b;R;0xD00E;U16;60;1;1
vc16b;R;0xD00F;U16;60;1;1
vchpb;R;0xD022;U16;60;1;1
vclpb;R;0xD023;U16;60;1;1
vdb;R;0xD024;U16;60;1;1
vbb;R;0xD025;U16;60;1;1
tc1b;R;0xD026;U16;60;1;1
tc2b;R;0xD027;U16;60;1;1
tc3b;R;0xD028;U16;60;1;1
tc4b;R;0xD029;U16;60;1;1
tc5b;R;0xD02A;U16;60;1;1
tc6b;R;0xD02B;U16;60;1;1
ta1b;R;0xD02C;U16;60;1;1
ta2b;R;0xD02D;U16;60;1;1
ta3b;R;0xD02E;U16;60;1;1
tmb;R;0xD02F;U16;60;1;1
thb;R;0xD030;U16;60;1;1
tlb;R;0xD031;U16;60;1;1
ichb;R;0xD032;U16;60;1;1
idsb;R;0xD033;U16;60;1;1
socb;R;0xD034;U16;60;1;1
sohb;R;0xD035;U16;60;1;1
ccb;R;0xD036;U16;60;1;1
cfcb;R;0xD037;U16;60;1;1
cfdb;R;0xD038;U16;60;1;1
cycb;R;0xD039;U16;60;1;1
vbcvb;W;0xA000;U16;60;1;1
ichmb;W;0xA001;U16;60;1;1