0;5;AS 4777;
1;267;E8001;
2;519;C10_11;
3;785;NBR 16149;
4;1032;TF3.2.1_DK1;
5;1296;EN50549_FI;
6;1568;VFR2014;
7;1793;VDE0126;
8;2058;EN50438_NL;
9;2322;EN50438_NO;
10;2604;EN50549-PL;
11;2831;EN50438_SE;
12;3085;VDE0126_A1;
13;3334;G98;
13;3354;G99;
14;3644;CEI_021-2019;
14;3647;CEI_021-ACEA;
15;3852;EN50438-DF;
16;4100;NB/T 32004;
17;4373;PEA;
17;4374;MEA;
19;4887;IEC 61727-2;
20;5148;230V 50Hz;
21;5399;IEC 61727;
22;5672;VDE AR-N4105;
23;5893;SI 4777;
24;6168;PPC Guide;
25;6446;230V 50Hz;
26;6661;AS 4777;
27;6926;RD1699;
28;7181;VDE0126_A1;
29;7453;230V 50Hz;
30;7693;VDE0126_A1;
31;7959;IEC 61727;
32;4621;VDE0126;
32;8212;User Defined;
32;9509;220-240V 50Hz;
32;9766;220-240V 60Hz;
34;8717;VDE0126_A1;
35;8995;230V 60Hz;
36;9252;NRS 097-2-1;
40;10279;220V 50Hz;
41;10533;230V 50Hz;
44;11301;220-240V 50Hz;
44;11309;PH_60Hz;
44;11315;PH_60Hz_120s;
45;11567;SSDG;