ebycr;63;48
ebycr;63;66
psysti;63;9
ppvti;63;10
w1i;63;11
w2i;63;12
w3i;63;13
w4i;63;14
w5i;63;15
vpv1i;63;16
vpv2i;63;17
vpvmini;63;18
vpvmaxi;63;19
vgrcr;63;20
vg1cr;63;21
vgmin1i;63;22
vgmax1i;63;23
edirgcr;63;24
atsgencr;63;25
pgi;63;26
fgmin1i;63;27
fgmax1i;63;28
fg1i;63;29
pgcr;63;30
vgenrcr;63;31
wgencr;63;32
pgencr;63;33
socbcr;63;34
socfcr;63;35
socmcr;63;36
soclcr;63;37
pbti;63;38
edirbcr;63;39
edirpvcr;63;40
usermodcr;63;41
edirccr;63;42
pitacti;63;43
autcr;63;44
socclcr;63;45
cbti;63;46
eci;63;47
ipv1i;63;49
ipv2i;63;50
ppv1i;63;51
ppv2i;63;52
epvi;63;53
cyccr;63;54
echi;63;55
edsi;63;56
edirgencr;63;57
ipvmincr;63;58
pgbymcr;63;59
pgslmcr;63;60
gencr;63;61
vdci;63;62
sohb1i;63;63
ibi;63;64
ig1i;63;65
eslcr;63;67
vgen1cr;63;68
igen1cr;63;69
fgen1cr;63;70
genstcr;63;71
genhrcr;63;72
egencr;63;73
vbldi;63;74
vbhi;63;75
vbli;63;76
ichmi;63;77
idsmi;63;78
pngencr;63;79
twugencr;63;80
tcdgencr;63;81
tstgencr;63;82
tstpgencr;63;83
stpv1cr;63;84
stpv2cr;63;85
papvcr;63;86
countrycr;63;87
langcr;63;88
stgencr;63;89
slcsocmcr;63;90
slcsoclcr;63;91
gpsi;63;92
htwdstcr;63;93
ltwdstcr;63;94
gtecr;63;95
localip;63;96
wcon;63;97
wref;63;98
ws11;63;99
ws12;63;100
ws13;63;101
ws14;63;102
ws21;63;103
ws22;63;104
ws23;63;105
ws24;63;106
ws31;63;107
ws32;63;108
ws33;63;109
ws34;63;110
ws41;63;111
ws42;63;112
ws43;63;113
ws44;63;114
ws51;63;115
ws52;63;116
ws53;63;117
ws54;63;118
wdsetcr;63;119
wpass1;63;120
wpass2;63;121
wpass3;63;122
wpass4;63;123
htwestcr;63;124
ltwestcr;63;125
ac0;64;1
ac1;64;2
ac2;64;3
ac3;64;4
ac4;64;5
ac5;64;6
ac6;64;7
ac7;64;8
ac8;64;9
ac9;64;10
ad0;64;11
ad1;64;12
ad2;64;13
ad3;64;14
ad4;64;15
ad5;64;16
ad6;64;17
ad7;64;18
ad8;64;19
ad9;64;20
wifirssi;65;1
mqttst;65;2
disptime;65;3
utcoffsetcr;65;4
wmod;65;5
initstcr;65;6
usentp;65;7
bmscalcr;65;8
ws15;65;9
ws16;65;10
ws17;65;11
ws18;65;12
ws25;65;13
ws26;65;14
ws27;65;15
ws28;65;16
ws35;65;17
ws36;65;18
ws37;65;19
ws38;65;20
ws45;65;21
ws46;65;22
ws47;65;23
ws48;65;24
ws55;65;25
ws56;65;26
ws57;65;61
ws58;65;63
wpass5;65;65
wpass6;65;67
wpass7;65;69
wpass8;65;71
currcr;65;73
esucr;99;99
fwrqst;65;113
fwverst;65;131
mont1;65;93
mont2;65;95
mont3;65;97
mont4;65;99
mont5;65;101
mont6;65;103
tuet1;65;105
tuet2;65;107
tuet3;65;109
tuet4;65;111
tuet5;65;116
tuet6;65;118
wedt1;65;120
wedt2;65;122
wedt3;65;124
wedt4;65;126
wedt5;65;128
wedt6;65;130
thut1;65;134
thut2;65;136
thut3;65;144
thut4;65;143
thut5;65;142
thut6;65;141
frit1;65;146
frit2;65;148
frit3;65;156
frit4;65;155
frit5;65;154
frit6;65;153
satt1;65;158
satt2;65;160
satt3;65;162
satt4;65;164
satt5;65;166
satt6;65;168
sunt1;65;170
sunt2;65;172
sunt3;65;174
sunt4;65;176
sunt5;65;178
sunt6;65;180